Rank,CCA3,Country,Capital
229,SPM,Saint Pierre and Miquelon,Saint-Pierre
199,VCT,Saint Vincent and the Grenadines,Kingstown
188,WSM,Samoa,Apia
218,SMR,San Marino,San Marino
187,STP,Sao Tome and Principe,SÃ£o TomÃ©
41,SAU,Saudi Arabia,Riyadh
72,SEN,Senegal,Dakar
105,SRB,Serbia,Belgrade
196,SYC,Seychelles,Victoria
102,SLE,Sierra Leone,Freetown
113,SGP,Singapore,Singapore
214,SXM,Sint Maarten,Philipsburg
116,SVK,Slovakia,Bratislava
148,SVN,Slovenia,Ljubljana
166,SLB,Solomon Islands,Honiara
70,SOM,Somalia,Mogadishu
24,ZAF,South Africa,Pretoria
29,KOR,South Korea,Seoul
86,SSD,South Sudan,Juba
30,ESP,Spain,Madrid
61,LKA,Sri Lanka,Colombo
32,SDN,Sudan,Khartoum
170,SUR,Suriname,Paramaribo
87,SWE,Sweden,Stockholm
101,CHE,Switzerland,Bern
60,SYR,Syria,Damascus
57,TWN,Taiwan,Taipei
95,TJK,Tajikistan,Dushanbe
22,TZA,Tanzania,Dodoma
20,THA,Thailand,Bangkok
155,TLS,Timor-Leste,Dili
100,TGO,Togo,LomÃ©
233,TKL,Tokelau,Nukunonu
197,TON,Tonga,Nukuâ€˜alofa
153,TTO,Trinidad and Tobago,Port-of-Spain
79,TUN,Tunisia,Tunis
18,TUR,Turkey,Ankara
111,TKM,Turkmenistan,Ashgabat
212,TCA,Turks and Caicos Islands,Cockburn Town
227,TUV,Tuvalu,Funafuti
31,UGA,Uganda,Kampala
38,UKR,Ukraine,Kiev
97,ARE,United Arab Emirates,Abu Dhabi
21,GBR,United Kingdom,London
3,USA,United States,"Washington, D.C."
200,VIR,United States Virgin Islands,Charlotte Amalie
133,URY,Uruguay,Montevideo
43,UZB,Uzbekistan,Tashkent
181,VUT,Vanuatu,Port-Vila
234,VAT,Vatican City,Vatican City
51,VEN,Venezuela,Caracas
16,VNM,Vietnam,Hanoi
226,WLF,Wallis and Futuna,Mata-Utu
172,ESH,Western Sahara,El AaiÃºn
46,YEM,Yemen,Sanaa
63,ZMB,Zambia,Lusaka
74,ZWE,Zimbabwe,Harare
